To date, there are very few reports describing species - specific splice variants.	"splice variants	66	81	Sequence"	"[{""token"": ""splice variants"", ""start_span"": 66, ""end_span"": 81, ""type"": ""Sequence""}]"
To assess the basis for the neonatal lethality of KA mutants, we monitored three litters from birth to weaning by measuring the body weight of each pup every day.	"mutants	53	60	Sequence"	"[{""token"": ""mutants"", ""start_span"": 53, ""end_span"": 60, ""type"": ""Sequence""}]"
The KA mutant pups were nursed normally, and there was milk in their stomachs during the first 2 or 3 d after birth, but they failed to thrive ( Figure 2).	"mutant	7	13	Sequence"	"[{""token"": ""mutant"", ""start_span"": 7, ""end_span"": 13, ""type"": ""Sequence""}]"
By postnatal day ( P) 8 - 10, at the time of genotyping, many KA mutant pups were considerably smaller than their littermates ( Figure 2B - 2F) and some have died at or prior to this age.	"mutant	65	71	Sequence"	"[{""token"": ""mutant"", ""start_span"": 65, ""end_span"": 71, ""type"": ""Sequence""}]"
None of KA mutants survived to weaning age.	"mutants	11	18	Sequence"	"[{""token"": ""mutants"", ""start_span"": 11, ""end_span"": 18, ""type"": ""Sequence""}]"
The ability of whole embryos to exclude blue dye was used to examine the epidermal barrier, normally acquired beginning at E16 and complete by E18. 5 [ 21].	"dye	45	48	Chemical"	"[{""token"": ""dye"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Chemical""}]"
External characteristics of KA mutants that were evident at E18. 5 persisted after birth and became more prominent as they grew ( Figure 2A - 2F).	"mutants	31	38	Sequence"	"[{""token"": ""mutants"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Sequence""}]"
Growth of pelage hair was generally delayed in the mutants.	"mutants	51	58	Sequence"	"[{""token"": ""mutants"", ""start_span"": 51, ""end_span"": 58, ""type"": ""Sequence""}]"
At around P8, the KA mutants were hairless and had wrinkled skin while their phenotypically normal littermates had a smooth thin coat of hair ( Figure 2B).	"mutants	21	28	Sequence"	"[{""token"": ""mutants"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Sequence""}]"
At this age, two lower incisors start to erupt in normal littermates and these were absent in the KA mutants ( Figure 2C and 2D).	"mutants	101	108	Sequence"	"[{""token"": ""mutants"", ""start_span"": 101, ""end_span"": 108, ""type"": ""Sequence""}]"
Animals also tended to be smaller and around P10 - P12 displayed abnormally short and misshapen vibrissae and short, shaggy pelage hairs ( Figure 2C and 2D).	"Animals	0	7	Organism"	"[{""token"": ""Animals"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Organism""}]"
These regions looked scaly, and these animals hardly kept their eyes open.	"animals	38	45	Organism"	"[{""token"": ""animals"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Organism""}]"
In contrast to the normal littermates that consistently increased their body weight with age, surviving KA mutants started to lose weight from P10 onwards; by P16 - P17 they were all lethargic, and none of them survived to weaning ( Figure 2E and 2F).	"mutants	107	114	Sequence"	"[{""token"": ""mutants"", ""start_span"": 107, ""end_span"": 114, ""type"": ""Sequence""}]"
Interestingly, changes in body weights and timing of hair growth varied considerably among mutant pups even if they were from the same litter, whereas those of phenotypically normal littermates tended to be similar.	"mutant	91	97	Sequence"	"[{""token"": ""mutant"", ""start_span"": 91, ""end_span"": 97, ""type"": ""Sequence""}]"
It is possible that the genetic background has a role to play in this variability.	"genetic	24	31	Sequence"	"[{""token"": ""genetic"", ""start_span"": 24, ""end_span"": 31, ""type"": ""Sequence""}]"
Gross examination of internal organs also showed that the mutants ' thymi were consistently inconspicuous and were very small for their age, whereas those of their littermates were very prominent in size ( Figure 2G).	"mutants	58	65	Sequence"	"[{""token"": ""mutants"", ""start_span"": 58, ""end_span"": 65, ""type"": ""Sequence""}]"
To understand the basis for delayed and abnormal hair development in the KA mutants, we conducted a histological and immunohistochemical examination ( Figure 4).	"mutants	76	83	Sequence"	"[{""token"": ""mutants"", ""start_span"": 76, ""end_span"": 83, ""type"": ""Sequence""}]"
The inner layers of the hair follicle include three concentric layers of inner root sheath and three concentric layers of hair - producing cells.	"cells	139	144	Cell"	"[{""token"": ""cells"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Cell""}]"
"At the base of the hair follicle is the germinative hair follicle bulb, which contains rapidly proliferating "" matrix "" cells that differentiate to populate all of the layers of the inner root sheath and the hair shaft itself [ 22]."	"cells	120	125	Cell"	"[{""token"": ""cells"", ""start_span"": 120, ""end_span"": 125, ""type"": ""Cell""}]"
During the anagen phase of the hair cycle ( until P15), hair follicles of phenotypically normal mice grew deeply into the subcutaneous fat and were uniformly spaced and aligned in parallel arrays at a specific angle relative to the skin surface ( Figure 4A).	"mice	96	100	Organism"	"[{""token"": ""mice"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Organism""}]"
Serial sectioning indicated that some of the hair follicles in the P12 mutant skin were not properly formed or shorter than normal.	"mutant	71	77	Sequence"	"[{""token"": ""mutant"", ""start_span"": 71, ""end_span"": 77, ""type"": ""Sequence""}]"
We examined the patterns of expression of beta - catenin in the affected tissues.	"beta - catenin	42	56	Gene_or_geneproduct"	"[{""token"": ""beta - catenin"", ""start_span"": 42, ""end_span"": 56, ""type"": ""Gene_or_geneproduct""}]"
Similarly, the pattern of expression of K6, which is normally only expressed in the suprabasal or inner layer of the ORS of the hair follicle but not in the epidermis ( Figure 4E), did not change.	"K6	40	42	Gene_or_geneproduct"	"[{""token"": ""K6"", ""start_span"": 40, ""end_span"": 42, ""type"": ""Gene_or_geneproduct""}]"
Due to the abnormal and disorganized structure of hair follicles themselves, K6 localization highlighted the histological abnormality ( Figure 4J).	"K6	77	79	Gene_or_geneproduct"	"[{""token"": ""K6"", ""start_span"": 77, ""end_span"": 79, ""type"": ""Gene_or_geneproduct""}]"
In normal skin, proliferating cells were detected in either the basal layer of epidermis or in germinative hair follicle bulbs at the base ( Figure 4B).	"cells	30	35	Cell"	"[{""token"": ""cells"", ""start_span"": 30, ""end_span"": 35, ""type"": ""Cell""}]"
Each budding tip was becoming like a hair follicle bulb containing proliferating cells.	"cells	81	86	Cell"	"[{""token"": ""cells"", ""start_span"": 81, ""end_span"": 86, ""type"": ""Cell""}]"
Hence, despite the abnormal histology in the mutant skin, proliferation seems to be confined to bulb - like structures as in the normal skin ( Figure 4G and 4G ').	"mutant	45	51	Sequence"	"[{""token"": ""mutant"", ""start_span"": 45, ""end_span"": 51, ""type"": ""Sequence""}]"
The exact locations of hair follicle bulbs were not as easy to define for some mutant follicles due to their disorganized structures.	"mutant	79	85	Sequence"	"[{""token"": ""mutant"", ""start_span"": 79, ""end_span"": 85, ""type"": ""Sequence""}]"
"It was also noted that the size of each "" budding "" follicle, as detected by Shh expression, was variable ( Figure 5D)."	"Shh	77	80	Gene_or_geneproduct"	"[{""token"": ""Shh"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Gene_or_geneproduct""}]"
Aberrant hair placodes were also evident throughout the skin surface of limbs in E15. 5 mutants ( Figure 5F), whereas those of the control embryos had not yet formed ( Figure 5E).	"mutants	88	95	Sequence"	"[{""token"": ""mutants"", ""start_span"": 88, ""end_span"": 95, ""type"": ""Sequence""}]"
Despite the grossly toothless phenotype of KA mutants, histological analysis of their oral cavities revealed the formation of multiple tooth buds at each location.	"mutants	46	53	Sequence"	"[{""token"": ""mutants"", ""start_span"": 46, ""end_span"": 53, ""type"": ""Sequence""}]"
These aberrant teeth obviously failed to grow out during the dietary transition from milk to solid food.	"food	99	103	Chemical"	"[{""token"": ""food"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Chemical""}]"
Loss of Apc also leads to hyperplasia in squamous epithelia of cornea, oral, salivary, and Hardarian glands ( unpublished data).	"Apc	8	11	Gene_or_geneproduct"	"[{""token"": ""Apc"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Gene_or_geneproduct""}]"
Thymus is an organ that is also known to have K14 expression [ 16].	"K14	46	49	Gene_or_geneproduct"	"[{""token"": ""K14"", ""start_span"": 46, ""end_span"": 49, ""type"": ""Gene_or_geneproduct""}]"
Since the stroma of the medulla is less heavily infiltrated with lymphocytes than the cortex, the medulla stained more lightly than the cortex.	"lymphocytes	65	76	Cell"	"[{""token"": ""lymphocytes"", ""start_span"": 65, ""end_span"": 76, ""type"": ""Cell""}]"
In normal mice, the thymus retains its size until the young adult age and regresses thereafter by atrophy.	"mice	10	14	Organism"	"[{""token"": ""mice"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Organism""}]"
In the normal young mice we examined ( P3 - P17), it is evident that thymocytes were mitotically active in the cortex as determined by BrdU immunostaining ( Figure 6B).	"mice	20	24	Organism"	"[{""token"": ""mice"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Organism""}]"
The histological abnormalities of thymus were evident as early as P3 in KA mutants ( Figure 6E and 6H).	"mutants	75	82	Sequence"	"[{""token"": ""mutants"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Sequence""}]"
Interestingly, variations in the phenotypic severity of the mutant pups at P3 were prominently reflected in the extent of histological abnormalities of thymus.	"mutant	60	66	Sequence"	"[{""token"": ""mutant"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Sequence""}]"
The milder P3 mutant thymus was already much smaller in size compared to those of normal littermates ( data not shown) but two epithelial compartments of thymus were histologically still distinguishable, with colonization of thymocytes evident in the cortex.	"mutant	14	20	Sequence"	"[{""token"": ""mutant"", ""start_span"": 14, ""end_span"": 20, ""type"": ""Sequence""}]"
Proliferative activities were no longer observed in thymocytes as prominently as in the normal thymus, but the epithelial cells seemed to be forming concentric structures ( Figure 6I).	"epithelial cells	111	127	Cell"	"[{""token"": ""epithelial cells"", ""start_span"": 111, ""end_span"": 127, ""type"": ""Cell""}]"
In these mice no thymocytes were detectable.	"mice	9	13	Organism"	"[{""token"": ""mice"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Organism""}]"
"Loss of proper TEC compartments consequently resulted in loss of thymocytes for maturation and the mice to be "" athymic. """	"mice	99	103	Organism"	"[{""token"": ""mice"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Organism""}]"
Apc is implicated in the Wnt signaling pathway that is involved both in development and tumorigenesis.	"Apc	0	3	Gene_or_geneproduct"	"[{""token"": ""Apc"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_geneproduct""}]"
These mice failed to thrive and died before weaning.	"mice	6	10	Organism"	"[{""token"": ""mice"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Organism""}]"
Apc and Hair Follicle Morphogenesis	"Apc	0	3	Gene_or_geneproduct"	"[{""token"": ""Apc"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_geneproduct""}]"
Current models of hair follicle development suggest that the establishment of a regular array of placodes in the surface epithelium in response to the first dermal message is achieved through the competing activities of molecules that promote or repress placode fate [ 24].	"molecules	220	229	Chemical"	"[{""token"": ""molecules"", ""start_span"": 220, ""end_span"": 229, ""type"": ""Chemical""}]"
We did not find any obvious histopathological abnormalities in the internal organs of KA mice that could contribute to the lethality.	"mice	89	93	Organism"	"[{""token"": ""mice"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Organism""}]"
Dermal fat was reduced in the mutant skin, possibly as a consequence of poor nutrition caused by the absence of teeth.	"mutant	30	36	Sequence"	"[{""token"": ""mutant"", ""start_span"": 30, ""end_span"": 36, ""type"": ""Sequence""}]"
Since the weight loss in KA mutants started from P8 - P10 while pups were still nursed by their mothers, starvation due to lack of teeth cannot be the sole cause of death, but is likely to be a contributing factor.	"mutants	28	35	Sequence"	"[{""token"": ""mutants"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Sequence""}]"
Hence, neither loss nor excess of tooth bud formation allows proper development of teeth for mice to have a healthy diet and normal life.	"mice	93	97	Organism"	"[{""token"": ""mice"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Organism""}]"
Mechanistic studies to understand how increased levels of beta - catenin leads to altered skin and tooth phenotypes are under way.	"beta - catenin	58	72	Gene_or_geneproduct"	"[{""token"": ""beta - catenin"", ""start_span"": 58, ""end_span"": 72, ""type"": ""Gene_or_geneproduct""}]"
Apc and Thymus Organogenesis	"Apc	0	3	Gene_or_geneproduct"	"[{""token"": ""Apc"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_geneproduct""}]"
Only a few epithelial cells were dividing and hardly any thymocytes were present by this time.	"epithelial cells	11	27	Cell"	"[{""token"": ""epithelial cells"", ""start_span"": 11, ""end_span"": 27, ""type"": ""Cell""}]"
This is not only evident from the lack of dividing thymocytes in the mutant thymus by P13, but also by the differential expression pattern of keratins, which were more skin - like than TEC - like.	"mutant	69	75	Sequence"	"[{""token"": ""mutant"", ""start_span"": 69, ""end_span"": 75, ""type"": ""Sequence""}]"
Construction of targeting vectors.	"vectors	26	33	Sequence"	"[{""token"": ""vectors"", ""start_span"": 26, ""end_span"": 33, ""type"": ""Sequence""}]"
The genomic DNA samples obtained from the tail of F1 offspring were subsequently analyzed by Southern blot analysis to further confirm the correct homologous recombination.	"genomic DNA	4	15	Sequence"	"[{""token"": ""genomic DNA"", ""start_span"": 4, ""end_span"": 15, ""type"": ""Sequence""}]"
Generation of Apc Delta 580 mice.	"mice	28	32	Organism"	"[{""token"": ""mice"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Organism""}]"
The mice were intercrossed thereafter for maintenance.	"mice	4	8	Organism"	"[{""token"": ""mice"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Organism""}]"
Genotyping of mice.	"mice	14	18	Organism"	"[{""token"": ""mice"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Organism""}]"
The reactions were heated for 10 min at 94 degrees C to heat - activate the enzyme followed by 30 PCR cycles at 94 degrees C for 30 s, 58 degrees C for 30 s, and 72 degrees C for 45 s, followed by the final extension for 5 min at 72 degrees C.	"enzyme	76	82	Sequence"	"[{""token"": ""enzyme"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Sequence""}]"
DNA samples extracted from various tissues collected at the time of autopsy were examined by genotyping PCR as described.	"DNA	0	3	Sequence"	"[{""token"": ""DNA"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Sequence""}]"
Mice were injected intraperitoneally with approximately 50 mu g / g body weight of BrdU ( Sigma) dissolved in PBS 2 h before their death.	"Mice	0	4	Organism"	"[{""token"": ""Mice"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Organism""}]"
The samples were then submitted to Rodent Histopathological Core for processing and histopathological examinations.	"Rodent	35	41	Organism"	"[{""token"": ""Rodent"", ""start_span"": 35, ""end_span"": 41, ""type"": ""Organism""}]"
The slides were then incubated with primary antibodies at room temperature overnight.	"antibodies	44	54	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 44, ""end_span"": 54, ""type"": ""GO_ontology""}]"
Multiple Intestinal Neoplasia in Apc Delta 580 Mice	"Mice	47	51	Organism"	"[{""token"": ""Mice"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Organism""}]"
( A) A representative appearance of small intestine of 4 - month - old mouse.	"mouse	71	76	Organism"	"[{""token"": ""mouse"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Organism""}]"
Skin Permeability Assay and Neonatal Mice	"Mice	37	41	Organism"	"[{""token"": ""Mice"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Organism""}]"
"Note slight pigmentations in pinnnae and "" birthmark "" in the forehead of mutant embryo ( B), which are present at P1 ( C), and become prominent as they grow."	"mutant	74	80	Sequence"	"[{""token"": ""mutant"", ""start_span"": 74, ""end_span"": 80, ""type"": ""Sequence""}]"
Immunochemical Examination of P13 Normal and Mutant Thymi	"Mutant	45	51	Sequence"	"[{""token"": ""Mutant"", ""start_span"": 45, ""end_span"": 51, ""type"": ""Sequence""}]"
( F - K) P13 mutant thymus.	"mutant	13	19	Sequence"	"[{""token"": ""mutant"", ""start_span"": 13, ""end_span"": 19, ""type"": ""Sequence""}]"
TEC - thymic epithelial cell	"epithelial cell	13	28	Cell"	"[{""token"": ""epithelial cell"", ""start_span"": 13, ""end_span"": 28, ""type"": ""Cell""}]"
Note the lack of incisors in the mutant.	"mutant	33	39	Sequence"	"[{""token"": ""mutant"", ""start_span"": 33, ""end_span"": 39, ""type"": ""Sequence""}]"
( F) Growth curve of mutants and normal littermates.	"mutants	21	28	Sequence"	"[{""token"": ""mutants"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Sequence""}]"
Mutants exhibit stunted growth, which became more prominent as they aged, and weigh significantly less than littermates from P8 ( p < 0. 05).	"Mutants	0	7	Sequence"	"[{""token"": ""Mutants"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Sequence""}]"
The mutant thymus ( left) is dramatically smaller for its age compared to the normal littermate ( right).	"mutant	4	10	Sequence"	"[{""token"": ""mutant"", ""start_span"": 4, ""end_span"": 10, ""type"": ""Sequence""}]"
( H) Skeletal preparations of normal ( left) and mutant ( right), showing differences in development of both incisor ( I) and molar ( M) teeth.	"mutant	49	55	Sequence"	"[{""token"": ""mutant"", ""start_span"": 49, ""end_span"": 55, ""type"": ""Sequence""}]"
( F - J) P12 mutant skin.	"mutant	13	19	Sequence"	"[{""token"": ""mutant"", ""start_span"": 13, ""end_span"": 19, ""type"": ""Sequence""}]"
( O - R) P12 mutant oral cavity.	"mutant	13	19	Sequence"	"[{""token"": ""mutant"", ""start_span"": 13, ""end_span"": 19, ""type"": ""Sequence""}]"
Aberrant follicular morphogenesis, characterized by formation of irregularly spaced, nonpolarized hair follicles, in mutant skin is evident.	"mutant	117	123	Sequence"	"[{""token"": ""mutant"", ""start_span"": 117, ""end_span"": 123, ""type"": ""Sequence""}]"
( E - G) Mild P3 mutant thymus.	"mutant	17	23	Sequence"	"[{""token"": ""mutant"", ""start_span"": 17, ""end_span"": 23, ""type"": ""Sequence""}]"
( H - K) Severe P3 mutant thymus.	"mutant	19	25	Sequence"	"[{""token"": ""mutant"", ""start_span"": 19, ""end_span"": 25, ""type"": ""Sequence""}]"
( L - O) P13 mutant thymus.	"mutant	13	19	Sequence"	"[{""token"": ""mutant"", ""start_span"": 13, ""end_span"": 19, ""type"": ""Sequence""}]"
Note the progression of histological abnormalities in the mutant thymus from mild P3, severe P3 to P13 ( A, E, H, L).	"mutant	58	64	Sequence"	"[{""token"": ""mutant"", ""start_span"": 58, ""end_span"": 64, ""type"": ""Sequence""}]"
Genotype Distribution of Progeny from the Matings	"Genotype	0	8	Sequence"	"[{""token"": ""Genotype"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Sequence""}]"
Maas contributed reagents / materials / analysis tools.	"reagents	17	25	Chemical"	"[{""token"": ""reagents"", ""start_span"": 17, ""end_span"": 25, ""type"": ""Chemical""}]"
We identified the disease spinocerebellar ataxia 15 as linked to this region.	"region	70	76	Sequence"	"[{""token"": ""region"", ""start_span"": 70, ""end_span"": 76, ""type"": ""Sequence""}]"
Our initial observations suggested the affected mice suffered from an apparently paroxysmal movement disorder, often induced by touch.	"mice	48	52	Organism"	"[{""token"": ""mice"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Organism""}]"
Affected mice presented at approximately postnatal day 14, and survival time without weaning was on average 4 wk after onset.	"mice	9	13	Organism"	"[{""token"": ""mice"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Organism""}]"
Breeding experiments suggested that the observed disorder was inherited in an autosomal recessive manner.	"autosomal	78	87	GO_ontology"	"[{""token"": ""autosomal"", ""start_span"": 78, ""end_span"": 87, ""type"": ""GO_ontology""}]"
We obtained genomic DNA from three affected family members and one family member with unknown disease status from the kindred originally used to define and map SCA15 ( family AUS1, of Australian Anglo - Celtic origin) [ 2].	"genomic DNA	12	23	Sequence"	"[{""token"": ""genomic DNA"", ""start_span"": 12, ""end_span"": 23, ""type"": ""Sequence""}]"
This deletion was apparent in all three affected family members studied and absent from the family member with unknown affection status ( Figure 3).	"deletion	5	13	Sequence"	"[{""token"": ""deletion"", ""start_span"": 5, ""end_span"": 13, ""type"": ""Sequence""}]"
DNA extracted from probands from these two families ( family H33 and family H27) were also analyzed using Illumina Infinium HumanHap550 genotyping chips.	"DNA	0	3	Sequence"	"[{""token"": ""DNA"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Sequence""}]"
These mutations segregated with disease in these two families ( Figure S3).	"mutations	6	15	Sequence"	"[{""token"": ""mutations"", ""start_span"": 6, ""end_span"": 15, ""type"": ""Sequence""}]"
A strategy similar to the one outlined above enabled us to sequence over the breakpoint in family H27 but not family H33.	"breakpoint	77	87	Sequence"	"[{""token"": ""breakpoint"", ""start_span"": 77, ""end_span"": 87, ""type"": ""Sequence""}]"
Linkage analysis using these data was performed using mlink [ 13], which revealed a positive linkage at Chromosome 6qE1, on the 129x1 / SvJ background ( two - point LOD score 5. 13 at marker 20. MMHAP85FLG2).	"Chromosome	104	114	GO_ontology"	"[{""token"": ""Chromosome"", ""start_span"": 104, ""end_span"": 114, ""type"": ""GO_ontology""}]"
Homogenates were diluted appropriately, mixed with 4 x reducing sample buffer, and loaded onto 4% - 12% precast gradient gels ( Novex, http: / / www. invitrogen. com) for SDS - PAGE and immunoblotting.	"SDS	171	174	Chemical"	"[{""token"": ""SDS"", ""start_span"": 171, ""end_span"": 174, ""type"": ""Chemical""}]"
Brains were isolated from 21 - d - old mice, perfused with 4% paraformaldehyde in PBS, and post - fixed overnight in the same fixative.	"mice	39	43	Organism"	"[{""token"": ""mice"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Organism""}]"
Sections from wild - type, heterozygote, and homozygous brains were placed in the MultiBrain template.	"wild - type	14	25	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 14, ""end_span"": 25, ""type"": ""Sequence""}]"
Sections were washed in 1 x PBS prior to 1 h of incubation in block solution containing 1 x PBS with 20% normal goat serum and 0. 3% Triton X - 100 ( pH 7. 4).	"goat	112	116	Organism"	"[{""token"": ""goat"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Organism""}]"
Sections were washed and mounted on glass slides in a buffered medium containing Mowiol ( Calbiochem, http: / / www. emdbiosciences. com) as described earlier [ 14].	"buffered	54	62	Chemical"	"[{""token"": ""buffered"", ""start_span"": 54, ""end_span"": 62, ""type"": ""Chemical""}]"
Tissue sections were incubated with the preabsorbed antibodies and processed as described above.	"antibodies	52	62	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 52, ""end_span"": 62, ""type"": ""GO_ontology""}]"
Analysis of ITPR1 in SCA15 patients.	"ITPR1	12	17	Gene_or_geneproduct"	"[{""token"": ""ITPR1"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Gene_or_geneproduct""}]"
Sequence reactions were run on an ABI3730XP automated sequencer as per the manufacturer ' s instructions ( Applied Biosystems).	"Sequence	0	8	Sequence"	"[{""token"": ""Sequence"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Sequence""}]"
This analysis was performed in all three affected family members for whom genomic DNA was available ( members 6, 7, and 19).	"genomic DNA	74	85	Sequence"	"[{""token"": ""genomic DNA"", ""start_span"": 74, ""end_span"": 85, ""type"": ""Sequence""}]"
Primer sequences and conditions are available upon request.	"Primer sequences	0	16	Sequence"	"[{""token"": ""Primer sequences"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Sequence""}]"
This product assays 555, 352 unique SNPs.	"SNPs	36	40	Sequence"	"[{""token"": ""SNPs"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Sequence""}]"
Homogenates were diluted appropriately, mixed with 4 x reducing sample buffer, and loaded onto 4% - 12% precast gradient gels ( NuPAGE, Invitrogen) for SDS - PAGE and immunoblotting.	"SDS	152	155	Chemical"	"[{""token"": ""SDS"", ""start_span"": 152, ""end_span"": 155, ""type"": ""Chemical""}]"
Upper panel shows log R ratio and B allele frequency metrics generated from Infinium HumanHap550 arrays for an affected family member from each family.	"allele	36	42	Sequence"	"[{""token"": ""allele"", ""start_span"": 36, ""end_span"": 42, ""type"": ""Sequence""}]"
Metrics Derived from Analysis of DNA from Affected Family Member 7 Using Illumina Infinium HumanHap550 Genotyping Chips	"DNA	33	36	Sequence"	"[{""token"": ""DNA"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Sequence""}]"
Clearly, these plots show a contiguous region ~ 200 kb long with decreased copy number and apparent homozygosity ( bounded by a red box).	"region	39	45	Sequence"	"[{""token"": ""region"", ""start_span"": 39, ""end_span"": 45, ""type"": ""Sequence""}]"
Mutation Analysis in the Australian SCA15 Family	"Mutation	0	8	Sequence"	"[{""token"": ""Mutation"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Sequence""}]"
HH, NWW, PG, JH, ES, RJMG, SMF, HC, and ABS contributed reagents / materials / analysis tools.	"reagents	56	64	Chemical"	"[{""token"": ""reagents"", ""start_span"": 56, ""end_span"": 64, ""type"": ""Chemical""}]"
This research was funded in part by the intramural programs of the National Institute on Aging and the National Institute on Neurological Disorders and Stroke ( NINDS), both of the National Institutes of Health, Department of Health and Human Services, United States of America.	"Human	237	242	Organism"	"[{""token"": ""Human"", ""start_span"": 237, ""end_span"": 242, ""type"": ""Organism""}]"
