The leukemia cell lines K562 and HL - 60 had no detectable TGF - beta RII mRNA.	"leukemia cell lines K562	4	28	Cell"	"HL - 60	33	40	Cell"	"[{""token"": ""leukemia cell lines K562"", ""start_span"": 4, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""HL - 60"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Cell""}]"
Ets - 1, a transcription factor, is induced in endothelial cells ( ECs) during angiogenesis.	"endothelial cells	47	64	Cell"	"ECs	67	70	Cell"	"[{""token"": ""endothelial cells"", ""start_span"": 47, ""end_span"": 64, ""type"": ""Cell""}, {""token"": ""ECs"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Cell""}]"
The induction of Ets - 1 in ECs after denudation was regulated transcriptionally, and humeral factors released from injured ECs might not be responsible.	"ECs	28	31	Cell"	"ECs	124	127	Cell"	"[{""token"": ""ECs"", ""start_span"": 28, ""end_span"": 31, ""type"": ""Cell""}, {""token"": ""ECs"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Cell""}]"
Since EVT cells possess active invasion - associated genes but are nontumorigenic, our objective was to induce premalignant and then malignant phenotype into a normal EVT cell line in order to identify the molecular basis of tumor progression.	"EVT cells	6	15	Cell"	"EVT cell line	167	180	Cell"	"[{""token"": ""EVT cells"", ""start_span"": 6, ""end_span"": 15, ""type"": ""Cell""}, {""token"": ""EVT cell line"", ""start_span"": 167, ""end_span"": 180, ""type"": ""Cell""}]"
Simian virus 40 large T antigen ( SV40 Tag) was introduced into a normal human first trimester invasive EVT cell line, HTR8, established in our laboratory.	"EVT cell line	104	117	Cell"	"HTR8	119	123	Cell"	"[{""token"": ""EVT cell line"", ""start_span"": 104, ""end_span"": 117, ""type"": ""Cell""}, {""token"": ""HTR8"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Cell""}]"
Since the HTR8 line has a limited in vitro lifespan of 12 - 15 passages, SV40 Tag - transformed cells were selected on the basis of extended lifespan.	"HTR8 line	10	19	Cell"	"cells	96	101	Cell"	"[{""token"": ""HTR8 line"", ""start_span"": 10, ""end_span"": 19, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 96, ""end_span"": 101, ""type"": ""Cell""}]"
Both cell lines showed reduced expression of tissue inhibitor of metalloproteases ( TIMP) - 1, while TIMP - 2 and plasminogen activator inhibitor ( PAI) - I expression was was also reduced in RSVT2 / C cells, thus contributing to their hyperinvasiveness.	"cell lines	5	15	Cell"	"RSVT2 / C cells	192	207	Cell"	"[{""token"": ""cell lines"", ""start_span"": 5, ""end_span"": 15, ""type"": ""Cell""}, {""token"": ""RSVT2 / C cells"", ""start_span"": 192, ""end_span"": 207, ""type"": ""Cell""}]"
However, recent identification of a high - Km glucose phosphorylating activity in a range of cancer cells prompted us to characterize glucose phosphorylating enzymes of cancer cells at the molecular level.	"cancer cells	93	105	Cell"	"cancer cells	169	181	Cell"	"[{""token"": ""cancer cells"", ""start_span"": 93, ""end_span"": 105, ""type"": ""Cell""}, {""token"": ""cancer cells"", ""start_span"": 169, ""end_span"": 181, ""type"": ""Cell""}]"
In addition, we report here the identification of two RNA transcripts of type II - like tumor HK of approximately 5. 5 and approximately 4. 0 kb in these cancer cells lines, including muscle - derived L6 myoblast cells.	"cancer cells lines	154	172	Cell"	"L6 myoblast cells	201	218	Cell"	"[{""token"": ""cancer cells lines"", ""start_span"": 154, ""end_span"": 172, ""type"": ""Cell""}, {""token"": ""L6 myoblast cells"", ""start_span"": 201, ""end_span"": 218, ""type"": ""Cell""}]"
Glucose and lactate metabolism in C6 glioma cells: evidence for the preferential utilization of lactate for cell oxidative metabolism.	"C6 glioma cells	34	49	Cell"	"cell	108	112	Cell"	"[{""token"": ""C6 glioma cells"", ""start_span"": 34, ""end_span"": 49, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Cell""}]"
MATERIALS AND METHODS: U - 995 was designed to study human umbilical vein endothelial cell ( HUVEC) migration and proliferation in vitro and angiogenesis induced by TNF alpha in chicken chorioallantoic membrane ( CAM).	"human umbilical vein endothelial cell	53	90	Cell"	"HUVEC	93	98	Cell"	"[{""token"": ""human umbilical vein endothelial cell"", ""start_span"": 53, ""end_span"": 90, ""type"": ""Cell""}, {""token"": ""HUVEC"", ""start_span"": 93, ""end_span"": 98, ""type"": ""Cell""}]"
In addition, when 200 micrograms U - 995 was injected i. p. into mice it suppressed sarcoma - 180 cell growth and B16 - F10 mouse melanoma cell metastasis in vivo.	"sarcoma - 180 cell	84	102	Cell"	"B16 - F10 mouse melanoma cell	114	143	Cell"	"[{""token"": ""sarcoma - 180 cell"", ""start_span"": 84, ""end_span"": 102, ""type"": ""Cell""}, {""token"": ""B16 - F10 mouse melanoma cell"", ""start_span"": 114, ""end_span"": 143, ""type"": ""Cell""}]"
