We verified the differential expression of spy2039 and spy0130 by qRT - PCR.	"spy2039	43	50	Protein"	"spy0130	55	62	Protein"	"[{""token"": ""spy2039"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"
The only other regulatory system having been identified to play a role at later stages of biofilm formation, in particular the formation of large microcolonies and fluid - filled channels, is the three - component system SadARS ( RocS1RA1), probably by controlling the expression of fimbrial cup genes [ 66], [ 76].	"SadARS	221	227	Protein"	"RocS1RA1	230	238	Protein"	"[{""token"": ""SadARS"", ""start_span"": 221, ""end_span"": 227, ""type"": ""Protein""}, {""token"": ""RocS1RA1"", ""start_span"": 230, ""end_span"": 238, ""type"": ""Protein""}]"
Here, GacS was found to be phosphorylated in a BfiS dependent manner.	"GacS	6	10	Protein"	"BfiS	47	51	Protein"	"[{""token"": ""GacS"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Protein""}, {""token"": ""BfiS"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}]"
Crystallographic analysis of SrcA at a resolution of 2. 5 A revealed a dimer similar to the CesT chaperone from enteropathogenic E. coli but lacking a 17 - amino acid extension at the carboxyl terminus.	"SrcA	29	33	Protein"	"CesT	92	96	Protein"	"[{""token"": ""SrcA"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""CesT"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}]"
Secondary structure predictions suggest class III chaperones adopt an extended alpha helical structure, which was confirmed by the crystal structure of the CesA chaperone in enteropathogenic E. coli that binds the EspA filament protein [ 5].	"CesA	156	160	Protein"	"EspA	214	218	Protein"	"[{""token"": ""CesA"", ""start_span"": 156, ""end_span"": 160, ""type"": ""Protein""}, {""token"": ""EspA"", ""start_span"": 214, ""end_span"": 218, ""type"": ""Protein""}]"
These cues activate a two - component signaling system encoded in the SPI - 2 island comprising the SsrA sensor kinase and SsrB response regulator.	"SsrA	100	104	Protein"	"SsrB	123	127	Protein"	"[{""token"": ""SsrA"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""SsrB"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Protein""}]"
We solved the crystal structure of SrcA and performed additional biochemical, proteomic and in vivo experiments that revealed SrcA to be a class I chaperone required for bacterial fitness in the host environment.	"SrcA	35	39	Protein"	"SrcA	126	130	Protein"	"[{""token"": ""SrcA"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""SrcA"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Protein""}]"
To determine whether SrcA contributes to Salmonella fitness in a host, we created an unmarked in - frame srcA deletion in S.	"SrcA	21	25	Protein"	"srcA	105	109	Protein"	"[{""token"": ""SrcA"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""srcA"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Protein""}]"
The level of attenuation of the srcA mutant was generally higher than most single effector gene mutants [ 26], which suggested to us that SrcA contributes to an important aspect of T3SS function in vivo.	"srcA	32	36	Protein"	"SrcA	138	142	Protein"	"[{""token"": ""srcA"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""SrcA"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Protein""}]"
Sequence analysis showed 59% amino acid identity between SrcA and CesT, a secretion chaperone in enteropathogenic E. coli ( EPEC) ( Fig. 2A).	"SrcA	57	61	Protein"	"CesT	66	70	Protein"	"[{""token"": ""SrcA"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""CesT"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}]"
As a means to address the biological function of SrcA, we solved the crystal structure at 2. 5 - A resolution ( PDB 3EPU).	"SrcA	49	53	Protein"	"PDB 3EPU	112	120	Protein"	"[{""token"": ""SrcA"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""PDB 3EPU"", ""start_span"": 112, ""end_span"": 120, ""type"": ""Protein""}]"
The structure was solved by molecular replacement using an initial model based on CesT ( PDB 1K3E) [ 13].	"CesT	82	86	Protein"	"PDB 1K3E	89	97	Protein"	"[{""token"": ""CesT"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""PDB 1K3E"", ""start_span"": 89, ""end_span"": 97, ""type"": ""Protein""}]"
With the exception of CesT, SrcA has weak overall sequence identity ( < 20%) with other T3SS chaperones.	"CesT	22	26	Protein"	"SrcA	28	32	Protein"	"[{""token"": ""CesT"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""SrcA"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}]"
In CesT, alpha1 and beta1 adopt an extended conformation while the equivalent domain in SicP remains closely packed against the dimerization domain [ 12].	"CesT	3	7	Protein"	"SicP	88	92	Protein"	"[{""token"": ""CesT"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""SicP"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}]"
This is in contrast to the class II chaperone interface of Spa15, which despite having similar tertiary structure to SrcA adopts a distinct dimer interface.	"Spa15	59	64	Protein"	"SrcA	117	121	Protein"	"[{""token"": ""Spa15"", ""start_span"": 59, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""SrcA"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Protein""}]"
To address this biochemically we purified SrcA and the predicted ATPase for the SPI - 2 T3SS, SsaN, and performed binding experiments and gel filtration chromatography of the protein mixtures.	"SrcA	42	46	Protein"	"SsaN	94	98	Protein"	"[{""token"": ""SrcA"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""SsaN"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Protein""}]"
We then mixed SrcA and SsaN proteins and resolved the protein complexes by gel filtration chromatography.	"SrcA	14	18	Protein"	"SsaN	23	27	Protein"	"[{""token"": ""SrcA"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""SsaN"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Protein""}]"
We verified the identities of protein originating from each peak by western blot ( Fig. 4D) and LC - MS / MS, which showed the new complex was comprised of both SsaN and SrcA.	"SsaN	161	165	Protein"	"SrcA	170	174	Protein"	"[{""token"": ""SsaN"", ""start_span"": 161, ""end_span"": 165, ""type"": ""Protein""}, {""token"": ""SrcA"", ""start_span"": 170, ""end_span"": 174, ""type"": ""Protein""}]"
Since structural and biochemical data unambiguously defined SrcA as a T3SS - associated chaperone, we used two experimental approaches to identify SrcA cargo ( s).	"SrcA	60	64	Protein"	"SrcA	147	151	Protein"	"[{""token"": ""SrcA"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""SrcA"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}]"
For this series of experiments we constructed a mutant in which the srcA gene was replaced on the chromosome with srcA - FLAG to enable immunoprecipitation from cell lysates.	"srcA	68	72	Protein"	"srcA	114	118	Protein"	"[{""token"": ""srcA"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""srcA"", ""start_span"": 114, ""end_span"": 118, ""type"": ""Protein""}]"
In these experiments the T3SS effector protein SseL was identified by quantitative SILAC mass spectrometry as a specific SrcA cargo protein ( Fig. 5B).	"SseL	47	51	Protein"	"SrcA	121	125	Protein"	"[{""token"": ""SseL"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""SrcA"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Protein""}]"
As expected from data with the complemented mutant in vivo, expression of srcA in trans restored effector secretion in the srcA mutant ( data not shown).	"srcA	74	78	Protein"	"srcA	123	127	Protein"	"[{""token"": ""srcA"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""srcA"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Protein""}]"
SrcA is required for PipB2 - dependent centrifugal displacement of the Salmonella - containing vacuole	"SrcA	0	4	Protein"	"PipB2	21	26	Protein"	"[{""token"": ""SrcA"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""PipB2"", ""start_span"": 21, ""end_span"": 26, ""type"": ""Protein""}]"
By 24 h after infection SCVs containing wild type bacteria were displaced centrifugally towards the cell periphery whereas SCVs containing either pipB2 or srcA mutant bacteria remained juxtaposed to the nucleus ( Fig. 6A).	"pipB2	146	151	Protein"	"srcA	155	159	Protein"	"[{""token"": ""pipB2"", ""start_span"": 146, ""end_span"": 151, ""type"": ""Protein""}, {""token"": ""srcA"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Protein""}]"
Interestingly, SrcA lacks 17 - amino acids that make up the carboxyl terminus of CesT, which includes Glu142, and yet it still retains effector binding, ATPase binding and effector secretion functionalities.	"SrcA	15	19	Protein"	"CesT	81	85	Protein"	"[{""token"": ""SrcA"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""CesT"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}]"
The interface for the SrcA homodimer is extensive and is more in keeping with the structural features of single - effector class IA chaperones ( approximately1100 - 1300 A2) compared to the reduced dimer interface of Spa15, a multi - cargo class IB chaperone from Shigella [ 31].	"SrcA	22	26	Protein"	"Spa15	217	222	Protein"	"[{""token"": ""SrcA"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""Spa15"", ""start_span"": 217, ""end_span"": 222, ""type"": ""Protein""}]"
We found no evidence of interactions between SrcA and translocon components of the SPI - 2 T3SS and so it appears as though SrcA functions specifically in effector translocation events.	"SrcA	45	49	Protein"	"SrcA	124	128	Protein"	"[{""token"": ""SrcA"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""SrcA"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}]"
The interaction between SrcA and SsaN supports an emerging paradigm whereby secretion chaperones bring effector cargo to the T3SS through physical interaction with the hexameric ATPase at the base of the apparatus [ 14].	"SrcA	24	28	Protein"	"SsaN	33	37	Protein"	"[{""token"": ""SrcA"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""SsaN"", ""start_span"": 33, ""end_span"": 37, ""type"": ""Protein""}]"
Due to low G + C base content compared to the genome average of 52%, it ' s likely that srcA ( 32% G + C) and an adjacent gene, STM2137 ( 37% G + C), were acquired as a foreign islet that was retained in organisms containing the SPI - 2 T3SS due to the selective advantage afforded by the new protein interactions so created.	"srcA	88	92	Protein"	"STM2137	128	135	Protein"	"[{""token"": ""srcA"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""STM2137"", ""start_span"": 128, ""end_span"": 135, ""type"": ""Protein""}]"
The gabD and gabT genes involved in the production of succinate from gamma - aminobutyrate ( GABA), another member of the L - glutamate group, were also highly induced in the flea.	"gabD	4	8	Protein"	"gabT	13	17	Protein"	"[{""token"": ""gabD"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""gabT"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}]"
Alternatively, the gabD and gabT gene products might act in the reverse direction to synthesize GABA, which has osmoprotective properties [ 13].	"gabD	19	23	Protein"	"gabT	28	32	Protein"	"[{""token"": ""gabD"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""gabT"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}]"
Upregulation of the actP and acs genes in the flea, which direct the uptake of acetate and its conversion to acetyl - CoA, also suggests that insufficient acetyl - CoA is produced by glycolysis to potentiate the TCA cycle.	"actP	20	24	Protein"	"acs	29	32	Protein"	"[{""token"": ""actP"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""acs"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Protein""}]"
In addition to yidE and cpxP, other Y. pestis predicted adhesins and components of an ESR were upregulated in the flea.	"yidE	15	19	Protein"	"cpxP	24	28	Protein"	"[{""token"": ""yidE"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""cpxP"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}]"
The cupA fimbrial locus and tibA are important for surface adherence and for biofilm formation in P. aeruginosa and E. coli, respectively [ 28], [ 29].	"cupA	4	8	Protein"	"tibA	28	32	Protein"	"[{""token"": ""cupA"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""tibA"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}]"
Other virulence and transmission factors were not differentially regulated, including the hms genes; and the Y. pestis plasminogen activator ( pla), critical for dissemination from extravascular tissue at the fleabite site [ 33], and ymt were highly expressed in both hosts ( Table S3 and [ 11]).	"pla	119	122	Protein"	"ymt	234	237	Protein"	"[{""token"": ""pla"", ""start_span"": 119, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""ymt"", ""start_span"": 234, ""end_span"": 237, ""type"": ""Protein""}]"
PhoP and MgtC are established virulence factors known to be important for survival of Y. pestis and other gram - negative bacteria in macrophages and for resistance to cationic antimicrobial peptides ( CAMPs) of the mammalian innate immune response [ 38], [ 39], [ 40].	"PhoP	0	4	Protein"	"MgtC	9	13	Protein"	"[{""token"": ""PhoP"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""MgtC"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}]"
X. cheopis fleas encode homologs of the insect CAMPs cecropin and defensin, and mount an inducible antibacterial response to infection ( unpublished data).	"cecropin	53	61	Protein"	"defensin	66	74	Protein"	"[{""token"": ""cecropin"", ""start_span"": 53, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""defensin"", ""start_span"": 66, ""end_span"": 74, ""type"": ""Protein""}]"
Because phoP is required by Y. pestis to produce a transmissible infection in fleas ( unpublished data), it was not possible to similarly assess the effect on disease transmission of phoP induction in the flea.	"phoP	8	12	Protein"	"phoP	183	187	Protein"	"[{""token"": ""phoP"", ""start_span"": 8, ""end_span"": 12, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Protein""}]"
In addition, although the antiphagocytic F1 capsule and Psa fimbriae do not appear to be produced in the flea, upregulation in the flea of most F1 genes in the cafRcaf1M1A1 locus and the Psa usher protein gene psaC ( Tables 1, S1) suggests that components of the F1 and Psa translocation system are made, which may prime Y. pestis for rapid secretion of these extracellular virulence factors after transmission.	"cafRcaf1M1A1	160	172	Protein"	"psaC	210	214	Protein"	"[{""token"": ""cafRcaf1M1A1"", ""start_span"": 160, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""psaC"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Protein""}]"
The upregulation of the innate immunity resistance genes phoP and mgtC suggest that those Y. pestis that are phagocytized may be prepared for resistance to CAMPs and intracellular survival while still in the flea vector.	"phoP	57	61	Protein"	"mgtC	66	70	Protein"	"[{""token"": ""phoP"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""mgtC"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}]"
Finally, the major essential virulence factors yadBC and pla, essential for Y. pestis dissemination from the dermis, were maximally or very highly expressed in the flea ( Tables 1, S3).	"yadBC	47	52	Protein"	"pla	57	60	Protein"	"[{""token"": ""yadBC"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""pla"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Protein""}]"
Transcriptome Analysis of the Brucella abortus BvrR / BvrS Two - Component Regulatory System	"BvrR	47	51	Protein"	"BvrS	54	58	Protein"	"[{""token"": ""BvrR"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Protein""}]"
Background The two - component BvrR / BvrS system is essential for Brucella abortus virulence.	"BvrR	31	35	Protein"	"BvrS	38	42	Protein"	"[{""token"": ""BvrR"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}]"
Several genes involved in cell envelope or outer membrane biogenesis were differentially expressed: genes for outer membrane proteins ( omp25a, omp25d), lipoproteins, LPS and fatty acid biosynthesis, stress response proteins, chaperones, flagellar genes, and twelve genes encoding ABC transport systems.	"omp25a	136	142	Protein"	"omp25d	144	150	Protein"	"[{""token"": ""omp25a"", ""start_span"": 136, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""omp25d"", ""start_span"": 144, ""end_span"": 150, ""type"": ""Protein""}]"
Conclusions / Significance All these data corroborate the impact of BvrR / BvrS on cell envelope modulation, confirm that this system controls the carbon and nitrogen metabolism, and suggest a cross - talk among some regulators to adjust the Brucella physiology to the shift expected to occur during the transit from the extracellular to the intracellular niche.	"BvrR	68	72	Protein"	"BvrS	75	79	Protein"	"[{""token"": ""BvrR"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Protein""}]"
Up to now, BvrR / BvrS is the best characterized two - component regulatory system of Brucella [ 2] - [ 4].	"BvrR	11	15	Protein"	"BvrS	18	22	Protein"	"[{""token"": ""BvrR"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Protein""}]"
Although genome sequencing has revealed 21 putative two - component regulatory systems in the Brucella genus, the best characterized one implicated in virulence is the BvrR / BvrS system.	"BvrR	168	172	Protein"	"BvrS	175	179	Protein"	"[{""token"": ""BvrR"", ""start_span"": 168, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 175, ""end_span"": 179, ""type"": ""Protein""}]"
BvrR / bvrS mutants are avirulent in mice, have increased susceptibility to killing by nonimmune serum, show reduced invasiveness to epithelial cells and macrophages, and are incapable of inhibiting lysosome fusion and of intracellular replication [ 4].	"BvrR	0	4	Protein"	"bvrS	7	11	Protein"	"[{""token"": ""BvrR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""bvrS"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Protein""}]"
As demonstrated for other two - component systems, multiple genes are expected to be under the control of BvrR / BvrS [ 1].	"BvrR	106	110	Protein"	"BvrS	113	117	Protein"	"[{""token"": ""BvrR"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Protein""}]"
To further understand the role of the BvrR / BvrS two - component signal transduction system, global gene expression profiles were analyzed by using ORFeome - based Brucella whole - genome DNA microarrays and confirmed by reverse transcription - PCR ( RT - PCR).	"BvrR	38	42	Protein"	"BvrS	45	49	Protein"	"[{""token"": ""BvrR"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Protein""}]"
Brucella mutants in the BvrR / BvrS two - component regulatory system are pleiotropic [ 3] - [ 6].	"BvrR	24	28	Protein"	"BvrS	31	35	Protein"	"[{""token"": ""BvrR"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}]"
Whole - genome microarray analysis was made to determine the effect of the mutation in BvrR / BvrS in the gene expression pattern of Brucella.	"BvrR	87	91	Protein"	"BvrS	94	98	Protein"	"[{""token"": ""BvrR"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Protein""}]"
These observations led to the hypothesis that the BvrR / BvrS system is involved in cell envelope changes required for adaptation to the intracellular environment.	"BvrR	50	54	Protein"	"BvrS	57	61	Protein"	"[{""token"": ""BvrR"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}]"
These data confirm that BvrR / BvrS regulates bacterial envelope changes that could modify surface properties relevant for Brucella virulence [ 6].	"BvrR	24	28	Protein"	"BvrS	31	35	Protein"	"[{""token"": ""BvrR"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}]"
In addition, the complete maltose transport system of Brucella, which consists in a large operon containing thirteen genes ( BAB1 _ 0236 - 0248) was also affected.	"BAB1 _ 0236	125	136	Protein"	"0248	139	143	Protein"	"[{""token"": ""BAB1 _ 0236"", ""start_span"": 125, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""0248"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Protein""}]"
On the other hand, two deaminases ( glutaminase, BAB2 _ 0863; guanine deaminase, BAB1 _ 0383) were also affected.	"BAB2 _ 0863	49	60	Protein"	"BAB1 _ 0383	81	92	Protein"	"[{""token"": ""BAB2 _ 0863"", ""start_span"": 49, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0383"", ""start_span"": 81, ""end_span"": 92, ""type"": ""Protein""}]"
Taken together all these data support the proposal that one role of the BvrR / BvrS system could be neutralize the production of toxic reactive nitrogen molecules, as NO, by the host.	"BvrR	72	76	Protein"	"BvrS	79	83	Protein"	"[{""token"": ""BvrR"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Protein""}]"
These results also demonstrated a connection between carbon and nitrogen metabolism and BvrR / BvrS in Brucella.	"BvrR	88	92	Protein"	"BvrS	95	99	Protein"	"[{""token"": ""BvrR"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}]"
Comparative genome analysis revealed that in addition to the bvrR / bvrS genes, the genome structure around these genes is essentially the same for all the alpha - proteobacteria [ 5].	"bvrR	61	65	Protein"	"bvrS	68	72	Protein"	"[{""token"": ""bvrR"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""bvrS"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Protein""}]"
Genes encoding proteins related to the PTS, including a HPr Ser - kinase, an EIIA permease of the mannose family and a HPr homologue precede those of the two - component regulatory system.	"HPr	56	59	Protein"	"HPr	119	122	Protein"	"[{""token"": ""HPr"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""HPr"", ""start_span"": 119, ""end_span"": 122, ""type"": ""Protein""}]"
Then, the BvrR could control transcription of the pckA gene, which encodes an essential control enzyme of the gluconeogenesis and Krebs cycle.	"BvrR	10	14	Protein"	"pckA	50	54	Protein"	"[{""token"": ""BvrR"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Protein""}, {""token"": ""pckA"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}]"
BvrR / BvrS and the expression of other transcriptional regulators	"BvrR	0	4	Protein"	"BvrS	7	11	Protein"	"[{""token"": ""BvrR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Protein""}]"
VjbR has been described as a transcriptional regulator able to activate directly the secretion system virB operon and the flagellar genes, both virulence factors associated to the surface of the bacteria [ 20], [ 21].	"VjbR	0	4	Protein"	"virB	102	106	Protein"	"[{""token"": ""VjbR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""virB"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Protein""}]"
Moreover, a systematically transcriptome analysis of all two component regulatory systems in E. coli has demonstrated that the OmpR / EnvZ system also controls the metabolism of amino acids, flagellar synthesis and nutrient transport [ 24].	"OmpR	127	131	Protein"	"EnvZ	134	138	Protein"	"[{""token"": ""OmpR"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""EnvZ"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Protein""}]"
In addition, the transcription of the S. meliloti lpsS gene, that encodes a sulfotransferase that modifies LPS, is dependent on the exoR gene [ 32].	"lpsS	50	54	Protein"	"exoR	132	136	Protein"	"[{""token"": ""lpsS"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""exoR"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Protein""}]"
BvrR / bvrS mutants are unable to multiply intracellularly and are avirulent in the mouse model [ 4].	"BvrR	0	4	Protein"	"bvrS	7	11	Protein"	"[{""token"": ""BvrR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""bvrS"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Protein""}]"
Most of the genes candidate to be regulated by BvrR / BvrS identified in our microarray experiments can be involved with the changes needed for intracellular survival of Brucella.	"BvrR	47	51	Protein"	"BvrS	54	58	Protein"	"[{""token"": ""BvrR"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Protein""}]"
In order to investigate if the BvrR / BvrS controlled genes were expressed intracellularly, bacterial RNA was obtained from B. abortus wild type recovered from infected cells as described in Material and Methods.	"BvrR	31	35	Protein"	"BvrS	38	42	Protein"	"[{""token"": ""BvrR"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}]"
VirB8 ( BAB2 _ 0061) was used as control of intracellularly expressed gene [ 35].	"VirB8	0	5	Protein"	"BAB2 _ 0061	8	19	Protein"	"[{""token"": ""VirB8"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""BAB2 _ 0061"", ""start_span"": 8, ""end_span"": 19, ""type"": ""Protein""}]"
The results showed significant differences in the expression of at least fifteen genes controlled by BvrR / BvrS.	"BvrR	101	105	Protein"	"BvrS	108	112	Protein"	"[{""token"": ""BvrR"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}]"
In conclusion, all these results and previous findings support the proposal that BvrR / BvrS controls a significantly broad set of phenotypes and define an important and coordinate gateway between the free - living and intracellular states of Brucella.	"BvrR	81	85	Protein"	"BvrS	88	92	Protein"	"[{""token"": ""BvrR"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}]"
This group may contain unknown essential information to completely understand the regulatory role of the BvrR / BvrS two - component regulatory system.	"BvrR	105	109	Protein"	"BvrS	112	116	Protein"	"[{""token"": ""BvrR"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""BvrS"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Protein""}]"
IgG Endopeptidase SeMac does not Inhibit Opsonophagocytosis of Streptococcus equi Subspecies equi by Horse Polymorphonuclear Leukocytes	"IgG Endopeptidase	0	17	Protein"	"SeMac	18	23	Protein"	"[{""token"": ""IgG Endopeptidase"", ""start_span"": 0, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Protein""}]"
