The relationship of glycosylation and isoelectric point with tumor accumulation of avidin.	"avidin	83	89	Protein"	"[{""token"": ""avidin"", ""start_span"": 83, ""end_span"": 89, ""type"": ""Protein""}]"
During spermatogenesis, global nucleosome removal occurs where histones are initially replaced by transition proteins and subsequently by protamines.	"histones	63	71	Protein"	"[{""token"": ""histones"", ""start_span"": 63, ""end_span"": 71, ""type"": ""Protein""}]"
Histone ubiquitination has been suggested to be important for sex chromosome inactivation during meiotic prophase and nucleosome removal at postmeiotic stages.	"Histone	0	7	Protein"	"[{""token"": ""Histone"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}]"
However, the mechanisms regulating these ubiquitin - mediated processes are unknown.	"ubiquitin	41	50	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 41, ""end_span"": 50, ""type"": ""Protein""}]"
A possible role of MdmX may be to dampen such oscillations that otherwise could produce erratic cell behavior.	"MdmX	19	23	Protein"	"[{""token"": ""MdmX"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}]"
Glioma pathogenesis - related 1 - like 1 is testis enriched, dynamically modified, and redistributed during male germ cell maturation and has a potential role in sperm - oocyte binding.	"Glioma pathogenesis - related 1 - like 1	0	40	Protein"	"[{""token"": ""Glioma pathogenesis - related 1 - like 1"", ""start_span"": 0, ""end_span"": 40, ""type"": ""Protein""}]"
Herein we cloned mouse Glipr1l1 and have shown it has a testis - enriched expression profile.	"Glipr1l1	23	31	Protein"	"[{""token"": ""Glipr1l1"", ""start_span"": 23, ""end_span"": 31, ""type"": ""Protein""}]"
GLIPR1L1 is posttranslationally modified by N - linked glycosylation during spermatogenesis and ultimately becomes localized to the connecting piece of elongated spermatids and sperm.	"GLIPR1L1	0	8	Protein"	"[{""token"": ""GLIPR1L1"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Protein""}]"
After sperm capacitation, however, GLIPR1L1 is also localized to the anterior regions of the sperm head.	"GLIPR1L1	35	43	Protein"	"[{""token"": ""GLIPR1L1"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Protein""}]"
Zona pellucida binding assays indicate that GLIPR1L1 has a role in the binding of sperm to the zona pellucida surrounding the oocyte.	"GLIPR1L1	44	52	Protein"	"[{""token"": ""GLIPR1L1"", ""start_span"": 44, ""end_span"": 52, ""type"": ""Protein""}]"
These data suggest that, along with other members of the CAP superfamily and several other proteins, GLIPR1L1 is involved in the binding of sperm to the oocyte complex.	"GLIPR1L1	101	109	Protein"	"[{""token"": ""GLIPR1L1"", ""start_span"": 101, ""end_span"": 109, ""type"": ""Protein""}]"
Here, we demonstrate a two - step mechanism for UTX - mediated demethylation at muscle - specific genes during myogenesis.	"UTX	48	51	Protein"	"[{""token"": ""UTX"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Protein""}]"
Removal of the repressive H3K27me3 mark within the coding region then requires RNA Polymerase II ( Pol II) elongation.	"H3K27me3	26	34	Protein"	"[{""token"": ""H3K27me3"", ""start_span"": 26, ""end_span"": 34, ""type"": ""Protein""}]"
This mini - review covers 16 proteins that have been reported to bind to IKKgamma and lead to the enhancement of the activities of the IKK complex, thus resulting in NF - kappaB activation.	"IKKgamma	73	81	Protein"	"[{""token"": ""IKKgamma"", ""start_span"": 73, ""end_span"": 81, ""type"": ""Protein""}]"
Extended ischemia prevents HIF1alpha degradation at reoxygenation by impairing prolyl - hydroxylation: role of Krebs cycle metabolites.	"HIF1alpha	27	36	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 27, ""end_span"": 36, ""type"": ""Protein""}]"
The HIF1alpha subunit is constantly synthesized and degraded under normoxia, but degradation is rapidly inhibited when oxygen levels drop.	"HIF1alpha	4	13	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Protein""}]"
Oxygen - dependent hydroxylation by prolyl - 4 - hydroxylases ( PHD) mediates HIF1alpha proteasome degradation.	"HIF1alpha	78	87	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 78, ""end_span"": 87, ""type"": ""Protein""}]"
We assessed the separate involvement of oxygen and glucose in HIF1alpha regulation in differentiated neuroblastoma cells subjected to ischemia.	"HIF1alpha	62	71	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 62, ""end_span"": 71, ""type"": ""Protein""}]"
We report higher transcriptional activity and HIF1alpha expression under oxygen deprivation in the presence of glucose ( OD), than in its absence ( oxygen and glucose deprivation, OGD).	"HIF1alpha	46	55	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 46, ""end_span"": 55, ""type"": ""Protein""}]"
Unexpectedly, HIF1alpha was not degraded at reoxygenation after an episode of OGD.	"HIF1alpha	14	23	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Protein""}]"
This was not due to impairment of proteasome function, but was associated with lower HIF1alpha hydroxylation.	"HIF1alpha	85	94	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 85, ""end_span"": 94, ""type"": ""Protein""}]"
Lack of HIF1alpha degradation in the presence of oxygen was accompanied by a very low alpha - ketoglutarate / fumarate ratio.	"HIF1alpha	8	17	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 8, ""end_span"": 17, ""type"": ""Protein""}]"
In all, our data suggest that postischemic metabolic alterations in Krebs cycle metabolites impair HIF1alpha degradation in the presence of oxygen by decreasing its hydroxylation, and highlight the involvement of metabolic pathways in HIF1alpha regulation besides the well known effects of oxygen.	"HIF1alpha	99	108	Protein"	"[{""token"": ""HIF1alpha"", ""start_span"": 99, ""end_span"": 108, ""type"": ""Protein""}]"
The ubiquitin ligase anaphase - promoting complex ( APC / C) is essential for cell division in all eukaryotes.	"ubiquitin	4	13	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Protein""}]"
Their degradation requires additional layers of regulation, and both SAFs are only degraded after being released from their inhibitor importin beta by Ran ( GTP).	"Ran	151	154	Protein"	"[{""token"": ""Ran"", ""start_span"": 151, ""end_span"": 154, ""type"": ""Protein""}]"
Our findings reveal a tightly regulated mechanism by which the APC / C and the GTPase Ran control the abundance of active spindle assembly factors to achieve the accurate formation of the mitotic spindle.	"Ran	86	89	Protein"	"[{""token"": ""Ran"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Protein""}]"
Oxyhemoglobin exposed to a continuous flux of H2O2 ( generated at a rate of 120 microM / min during the glucose oxidase - catalyzed oxidation of glucose) was oxidized to ( a) X - FeIV - OH when [ X - FeIIO2] less than 75 microM and ( b) X - FeIII when [ X - FeIIO2] greater than 75 microM ( the production of X - FeIII proceeded with intermediate formation of X - FeIV - OH).	"glucose oxidase	104	119	Protein"	"[{""token"": ""glucose oxidase"", ""start_span"": 104, ""end_span"": 119, ""type"": ""Protein""}]"
The recombinants have been purified using a metal ion - dependent monoclonal antibody specific for residues 1 - 42 of human factor IX.	"factor IX	124	133	Protein"	"[{""token"": ""factor IX"", ""start_span"": 124, ""end_span"": 133, ""type"": ""Protein""}]"
All recombinant molecules are activated normally by human factor XIa in the presence of calcium ion.	"factor XIa	58	68	Protein"	"[{""token"": ""factor XIa"", ""start_span"": 58, ""end_span"": 68, ""type"": ""Protein""}]"
In contrast, the construct containing the first epidermal growth factor - like domain of factor X shows essentially normal clotting activity.	"factor X	89	97	Protein"	"[{""token"": ""factor X"", ""start_span"": 89, ""end_span"": 97, ""type"": ""Protein""}]"
Thus, it is unlikely that this domain is involved in a unique interaction with factor VIII.	"factor VIII	79	90	Protein"	"[{""token"": ""factor VIII"", ""start_span"": 79, ""end_span"": 90, ""type"": ""Protein""}]"
Release of [ hydroxyproline3] - kinins by tissue kallikreins of pig, rat and man.	"kinins	32	38	Protein"	"[{""token"": ""kinins"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Protein""}]"
Therefore, hydroxylation of human kininogens apparently does not affect their ability to serve as substrates for tissue kallikreins with different cleavage specificities.	"kininogens	34	44	Protein"	"[{""token"": ""kininogens"", ""start_span"": 34, ""end_span"": 44, ""type"": ""Protein""}]"
Monensin prevented the final processing steps of the gp150, including cleavage, suggesting that transport through the Golgi apparatus is required for complete processing.	"gp150	53	58	Protein"	"[{""token"": ""gp150"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Protein""}]"
Digestion of the intracellular forms of this complex as well as the virion forms confirmed the above findings and indicated that the mature virion form of gp55 contains 8, 000 daltons of N - linked sugars.	"gp55	155	159	Protein"	"[{""token"": ""gp55"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Protein""}]"
The virion gp116 contains some 52, 000 to 57, 000 daltons of N - linked carbohydrates and approximately 5, 000 daltons of O - linked sugars.	"gp116	11	16	Protein"	"[{""token"": ""gp116"", ""start_span"": 11, ""end_span"": 16, ""type"": ""Protein""}]"
Microthrombomodulin.	"Microthrombomodulin	0	19	Protein"	"[{""token"": ""Microthrombomodulin"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Protein""}]"
The CB3 fragment did not, however, support protein C activation.	"protein C	43	52	Protein"	"[{""token"": ""protein C"", ""start_span"": 43, ""end_span"": 52, ""type"": ""Protein""}]"
Second, the majority of the glycosylation repertoire is comprised of two phenotypes, characterized by glycopeptides which differ in affinity for Con A - Sepharose.	"Con A	145	150	Protein"	"[{""token"": ""Con A"", ""start_span"": 145, ""end_span"": 150, ""type"": ""Protein""}]"
The bm14 Db mutation results in specific failure of female bm14 mice to generate a cytotoxic T lymphocyte ( Tc) response to the male - specific antigen H - Y.	"H - Y	152	157	Protein"	"[{""token"": ""H - Y"", ""start_span"": 152, ""end_span"": 157, ""type"": ""Protein""}]"
Purified CD8 + T cells completely fail to respond.	"CD8	9	12	Protein"	"[{""token"": ""CD8"", ""start_span"": 9, ""end_span"": 12, ""type"": ""Protein""}]"
We show that the surface MHC class I molecules of DC are present in greater quantity and carry on average fewer sialic acids than the same molecules isolated from other APC types such as spleen cells, lipopolysaccharide blasts or concanavalin A blasts.	"concanavalin A	230	244	Protein"	"[{""token"": ""concanavalin A"", ""start_span"": 230, ""end_span"": 244, ""type"": ""Protein""}]"
Effects of histone acetylation on nucleosome properties as evaluated by polyacrylamide gel electrophoresis and hydroxylapatite dissociation chromatography.	"histone	11	18	Protein"	"[{""token"": ""histone"", ""start_span"": 11, ""end_span"": 18, ""type"": ""Protein""}]"
The release of acetylated histones from chick oviduct chromatin was analyzed by hydroxylapatite column chromatography.	"histones	26	34	Protein"	"[{""token"": ""histones"", ""start_span"": 26, ""end_span"": 34, ""type"": ""Protein""}]"
By raising of the NaCl concentration, acetylated histones were eluted from hydroxylapatite - bound chromatin depending on their release from nucleosomal DNA.	"histones	49	57	Protein"	"[{""token"": ""histones"", ""start_span"": 49, ""end_span"": 57, ""type"": ""Protein""}]"
Vitamin K - dependent protein S is involved in the regulation of blood coagulation.	"Vitamin K - dependent protein S	0	31	Protein"	"[{""token"": ""Vitamin K - dependent protein S"", ""start_span"": 0, ""end_span"": 31, ""type"": ""Protein""}]"
The following EGF - like repeat has a very pronounced sequence homology ( 10 consecutive residues identical) to one of the EGF - like units in the EGF precursor.	"EGF	14	17	Protein"	"[{""token"": ""EGF"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Protein""}]"
We now show that, in protein S, this EGF - like repeat has one beta - hydroxyasparagine residue formed by hydroxylation of asparagine.	"protein S	21	30	Protein"	"[{""token"": ""protein S"", ""start_span"": 21, ""end_span"": 30, ""type"": ""Protein""}]"
Comparison of the immune response to variant influenza type B hemagglutinins expressed in vaccinia virus.	"hemagglutinins	62	76	Protein"	"[{""token"": ""hemagglutinins"", ""start_span"": 62, ""end_span"": 76, ""type"": ""Protein""}]"
These variant HA genes have been previously described as being present exclusively in either egg - derived or MDCK cell - derived subpopulations of influenza B / England / 222 / 82 virus.	"HA	14	16	Protein"	"[{""token"": ""HA"", ""start_span"": 14, ""end_span"": 16, ""type"": ""Protein""}]"
These proteins seem to surround a region centered about L3 and may partly define a ribosomal channel through which the nascent peptide emerges.	"L3	56	58	Protein"	"[{""token"": ""L3"", ""start_span"": 56, ""end_span"": 58, ""type"": ""Protein""}]"
The prolonged stimulatory effect of ACTH on 11 beta - hydroxylation, and its contribution to the steroidogenic potency of adrenocortical cells.	"ACTH	36	40	Protein"	"[{""token"": ""ACTH"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}]"
The activity of 11 beta - hydroxylation step was therefore examined by incubating the adrenocortical cells from control and ACTH - treated animals in the presence of increasing amounts of 11 - deoxycortisol.	"ACTH	124	128	Protein"	"[{""token"": ""ACTH"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}]"
Therefore it was concluded that ACTH increases in a lasting way not only the overall steroidogenic capacity of adrenocortical cells but also the maximal efficiency of 11 beta - hydroxylation.	"ACTH	32	36	Protein"	"[{""token"": ""ACTH"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}]"
It has also been reported to reduce tryptophan to dihydrotryptophan and to inactivate lysozyme in trifluoroacetic acid [ M. Kurata, Y. Kikugawa, T. Kuwae, I. Koyama, and T. Takagi ( 1980) Chem. Pharm. Bull 28, 2274 - 2275].	"lysozyme	86	94	Protein"	"[{""token"": ""lysozyme"", ""start_span"": 86, ""end_span"": 94, ""type"": ""Protein""}]"
In the acid reduction, pyridine borane selectively reduced all six tryptophans in lysozyme to dihydrotryptophan while all other amino acids remained intact.	"lysozyme	82	90	Protein"	"[{""token"": ""lysozyme"", ""start_span"": 82, ""end_span"": 90, ""type"": ""Protein""}]"
The same chemistry was applied to covalently attach glucose and lactose to bovine serum albumin.	"serum albumin	82	95	Protein"	"[{""token"": ""serum albumin"", ""start_span"": 82, ""end_span"": 95, ""type"": ""Protein""}]"
The covalent attachment of sugar to the epsilon - amino group of lysine was demonstrated by the synthesis of N - alpha - acetylglucitollysine and comparison with acid hydrolysates of the bovine serum albumin - sugar derivatives.	"serum albumin	194	207	Protein"	"[{""token"": ""serum albumin"", ""start_span"": 194, ""end_span"": 207, ""type"": ""Protein""}]"
Arylamine N - acetyltransferase and arylalkylamine N - acetyltransferase in the mammalian pineal gland.	"arylalkylamine N - acetyltransferase	36	72	Protein"	"[{""token"": ""arylalkylamine N - acetyltransferase"", ""start_span"": 36, ""end_span"": 72, ""type"": ""Protein""}]"
Third, arylamine N - acetyltransferase and arylalkylamine N - acetyltransferase inactivated at different rates at 4 degrees C.	"arylalkylamine N - acetyltransferase	43	79	Protein"	"[{""token"": ""arylalkylamine N - acetyltransferase"", ""start_span"": 43, ""end_span"": 79, ""type"": ""Protein""}]"
These results clearly establish that the pineal gland contains an arylamine N - acetyltransferase and a second, independently regulated arylalkylamine N - acetyltransferase which appears to be primarily responsible for the physiological conversion of serotonin to melatonin via the intermediate N - acetylserotonin.	"arylalkylamine N - acetyltransferase	136	172	Protein"	"[{""token"": ""arylalkylamine N - acetyltransferase"", ""start_span"": 136, ""end_span"": 172, ""type"": ""Protein""}]"
Although the albumin gene is undermethylated for its entire length in rat liver, only the 5 ' end is ever undermethylated in hepatoma cells.	"albumin	13	20	Protein"	"[{""token"": ""albumin"", ""start_span"": 13, ""end_span"": 20, ""type"": ""Protein""}]"
Moreover, undermethylation of the 5 ' end of the gene appears to be necessary for stable expression of the albumin gene in hepatoma cells.	"albumin	107	114	Protein"	"[{""token"": ""albumin"", ""start_span"": 107, ""end_span"": 114, ""type"": ""Protein""}]"
Despite the excellent correlation between undermethylation of the 5 ' end of the albumin gene and its stable expression, the results argue against the possibility that the methylated state of such genes during development determines whether they will or will not be expressed.	"albumin	81	88	Protein"	"[{""token"": ""albumin"", ""start_span"": 81, ""end_span"": 88, ""type"": ""Protein""}]"
Hydroxylated aromatic inhibitors of HIV - 1 integrase.	"integrase	44	53	Protein"	"[{""token"": ""integrase"", ""start_span"": 44, ""end_span"": 53, ""type"": ""Protein""}]"
Approximately 30 compounds have been prepared as HIV integrase inhibitors based on the structural lead provided by CAPE, which has previously been shown to exhibit an IC50 value of 7 microM in our integration assay.	"integrase	53	62	Protein"	"[{""token"": ""integrase"", ""start_span"": 53, ""end_span"": 62, ""type"": ""Protein""}]"
Disintegration using an integrase mutant lacking the N - terminal zinc finger and C - terminal DNA - binding domains was also inhibited by these analogues, suggesting that the binding site for these compounds resides in the central catalytic core.	"integrase	24	33	Protein"	"[{""token"": ""integrase"", ""start_span"": 24, ""end_span"": 33, ""type"": ""Protein""}]"
Taken together, these results suggest that the development of novel antiviral agents for the treatment of acquired immune deficiency syndrome can be based upon inhibition of HIV - 1 integrase.	"integrase	182	191	Protein"	"[{""token"": ""integrase"", ""start_span"": 182, ""end_span"": 191, ""type"": ""Protein""}]"
Effect of modification of carbohydrate side chains on the reactivity of antibodies with core - protein epitopes of the MUC1 gene product.	"MUC1	119	123	Protein"	"[{""token"": ""MUC1"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Protein""}]"
The hCG beta - subunit contains a carboxy - terminal extension bearing four serine - linked oligosaccharides [ carboxy - terminal peptide ( CTP)], which is important for maintaining its longer half - life compared with the other glycoprotein hormones.	"hCG beta - subunit	4	22	Protein"	"[{""token"": ""hCG beta - subunit"", ""start_span"": 4, ""end_span"": 22, ""type"": ""Protein""}]"
Previously, we enhanced the in vivo half - life of FSH by fusing the CTP to the carboxy end of FSH beta coding sequence.	"FSH beta	95	103	Protein"	"[{""token"": ""FSH beta"", ""start_span"": 95, ""end_span"": 103, ""type"": ""Protein""}]"
These chimeras were cotransfected with the hCG beta gene into Chinese hamster ovary cells.	"hCG beta	43	51	Protein"	"[{""token"": ""hCG beta"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Protein""}]"
The chimeras were secreted and combined efficiently with the CG beta - subunit, comparable to the wild type alpha - subunit.	"CG beta - subunit	61	78	Protein"	"[{""token"": ""CG beta - subunit"", ""start_span"": 61, ""end_span"": 78, ""type"": ""Protein""}]"
CG dimers containing the alpha - subunit chimera with CTP at the carboxy end of the subunit had a much lower binding affinity for the hLH - hCG receptor in vitro, whereas the binding of the dimer containing the CTP at the amino - terminal end of the subunit was similar to wild type hCG.	"hLH - hCG receptor	134	152	Protein"	"[{""token"": ""hLH - hCG receptor"", ""start_span"": 134, ""end_span"": 152, ""type"": ""Protein""}]"
Studies by Western blot confirmed the presence of terminal N - acetylglucosamine on heavy chains, and percentages of Gal ( 0) comparable to those seen in human RA could be generated by exposing goat IgG to streptococcal beta - galactosidase.	"beta - galactosidase	220	240	Protein"	"[{""token"": ""beta - galactosidase"", ""start_span"": 220, ""end_span"": 240, ""type"": ""Protein""}]"
The presence of an N - linked glycan ( at Asn - 184) in the kringle 2 domain of tissue plasminogen activator hinders the rearrangement of this ternary complex, decreasing the turnover rate ( Kcat).	"tissue plasminogen activator	80	108	Protein"	"[{""token"": ""tissue plasminogen activator"", ""start_span"": 80, ""end_span"": 108, ""type"": ""Protein""}]"
Continuous growth of a stably transfected, methotrexate amplified, dhfr - CHO cell line yields up to 60 mg l - 1 of DSPA alpha 1.	"DSPA alpha 1	116	128	Protein"	"[{""token"": ""DSPA alpha 1"", ""start_span"": 116, ""end_span"": 128, ""type"": ""Protein""}]"
Recombinant DSPA alpha 1 is purified from both sources using a one - step purification protocol.	"DSPA alpha 1	12	24	Protein"	"[{""token"": ""DSPA alpha 1"", ""start_span"": 12, ""end_span"": 24, ""type"": ""Protein""}]"
Although differences in glycosylation were detected, enzymatic activity and fibrin cofactor dependency are unaffected when DSPA alpha 1 derived from the two expression systems is compared.	"DSPA alpha 1	123	135	Protein"	"[{""token"": ""DSPA alpha 1"", ""start_span"": 123, ""end_span"": 135, ""type"": ""Protein""}]"
Comparisons of rat sCD4 glycopeptides with mutant molecules with only single glycosylation sites and with a truncated form containing only the two NH2 - terminal domains, indicate that independent processing occurs at each glycosylation site and that domain interactions can also affect oligosaccharide processing.	"sCD4	19	23	Protein"	"[{""token"": ""sCD4"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}]"
The 35 - kDa polypeptide also appears to be methylated by a STE14 - independent methyltransferase.	"STE14	60	65	Protein"	"[{""token"": ""STE14"", ""start_span"": 60, ""end_span"": 65, ""type"": ""Protein""}]"
We describe here a cell - free system which will carry out the initial stages in the synthesis, post - translational modification and assembly of type - X collagen.	"type - X collagen	146	163	Protein"	"[{""token"": ""type - X collagen"", ""start_span"": 146, ""end_span"": 163, ""type"": ""Protein""}]"
When type - X collagen was synthesized in the absence of added microsomes or in the presence of canine pancreas microsomes, the translation products showed partial resistance to digestion with pepsin but were completely degraded with a mixture of chymotrypsin and trypsin, suggesting that only incorrectly aligned non - native collagen molecules were synthesized under these conditions.	"type - X collagen	5	22	Protein"	"[{""token"": ""type - X collagen"", ""start_span"": 5, ""end_span"": 22, ""type"": ""Protein""}]"
However, it remains controversial whether recognition of modified LDL by this receptor is due to the modification per se, or to other factors such as a conformational change of apoB.	"apoB	177	181	Protein"	"[{""token"": ""apoB"", ""start_span"": 177, ""end_span"": 181, ""type"": ""Protein""}]"
In this study, LDL and other proteins including bovine serum albumin, human high density lipoprotein, and murine IgG were derivatized with oxidation products generated from arachidonic acid by thermal autoxidation.	"serum albumin	55	68	Protein"	"[{""token"": ""serum albumin"", ""start_span"": 55, ""end_span"": 68, ""type"": ""Protein""}]"
This effect of adenosine was not blocked by the adenosine A1 - receptor antagonist 8 - cyclophenyl - 1, 3 - dipropylaxanthine ( 0. 01 - 1 microM) except at a concentration ( 100 microM) that may inhibit adenosine transport.	"adenosine A1 - receptor	48	71	Protein"	"[{""token"": ""adenosine A1 - receptor"", ""start_span"": 48, ""end_span"": 71, ""type"": ""Protein""}]"
Similarly, in situ AMP deaminase activity was not enhanced by treatment with the specific adenosine A1 - receptor agonists N6 - phenylisopropyl adenosine or cyclopentyladenosine, nor was it sensitive to prior treatment of cells with pertussis toxin.	"adenosine A1 - receptor	90	113	Protein"	"[{""token"": ""adenosine A1 - receptor"", ""start_span"": 90, ""end_span"": 113, ""type"": ""Protein""}]"
DDRP 48 was found to be a negatively charged and highly hydrophilic glycoprotein.	"DDRP 48	0	7	Protein"	"[{""token"": ""DDRP 48"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}]"
The glycosidase cleavage analyses suggested that DDRP 48 was mainly N - link - glycosylated.	"DDRP 48	49	56	Protein"	"[{""token"": ""DDRP 48"", ""start_span"": 49, ""end_span"": 56, ""type"": ""Protein""}]"
The apparent molecular mass of DDRP 48 was estimated to be approximately 65 kilodaltons.	"DDRP 48	31	38	Protein"	"[{""token"": ""DDRP 48"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Protein""}]"
DDRP 48 was found able to hydrolyze ATP and GTP yielding PPi.	"DDRP 48	0	7	Protein"	"[{""token"": ""DDRP 48"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}]"
The Western blot analysis demonstrated that DDRP 48 was expressed to various concentrations in different S. cerevisiae strains.	"DDRP 48	44	51	Protein"	"[{""token"": ""DDRP 48"", ""start_span"": 44, ""end_span"": 51, ""type"": ""Protein""}]"
After similar DNA - damaging treatments, however, no significant inductions of DDRP 48 were found in a rad 52 mutant strain.	"DDRP 48	79	86	Protein"	"[{""token"": ""DDRP 48"", ""start_span"": 79, ""end_span"": 86, ""type"": ""Protein""}]"
These observations are consistent with the predictions resulting from previous studies on transcriptional regulation of the DDR 48 gene ( Maga, J. A., McClanahan, T. A., and McEntee, K. ( 1986) Mol. & Gen. Genet. 205, 276 - 284; McClanahan, T., and McEntee, K. ( 1986) Mol. Cell. Biol. 6, 90 - 96).	"DDR 48	124	130	Protein"	"[{""token"": ""DDR 48"", ""start_span"": 124, ""end_span"": 130, ""type"": ""Protein""}]"
Control of IgG / Fc glycosylation: a comparison of oligosaccharides from chimeric human / mouse and mouse subclass immunoglobulin Gs.	"Fc	17	19	Protein"	"[{""token"": ""Fc"", ""start_span"": 17, ""end_span"": 19, ""type"": ""Protein""}]"
Regulation of CD44 binding to hyaluronan by glycosylation of variably spliced exons.	"CD44	14	18	Protein"	"[{""token"": ""CD44"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Protein""}]"
The hyaluronan ( HA) - binding function ( lectin function) of the leukocyte homing receptor, CD44, is tightly regulated.	"CD44	93	97	Protein"	"[{""token"": ""CD44"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}]"
Herein we address possible mechanisms that regulate CD44 isoform - specific HA binding.	"CD44	52	56	Protein"	"[{""token"": ""CD44"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}]"
Recombinant fish neurotrophin - 6 is a heparin - binding glycoprotein: implications for a role in axonal guidance.	"neurotrophin - 6	17	33	Protein"	"[{""token"": ""neurotrophin - 6"", ""start_span"": 17, ""end_span"": 33, ""type"": ""Protein""}]"
NT - 6 binds specifically the glycosaminoglycan heparin.	"NT - 6	0	6	Protein"	"[{""token"": ""NT - 6"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}]"
In this study NT - 6 was expressed in a stably transfected mammalian cell line, and in insect cells via a recombinant baculovirus.	"NT - 6	14	20	Protein"	"[{""token"": ""NT - 6"", ""start_span"": 14, ""end_span"": 20, ""type"": ""Protein""}]"
NT - 6 from both expression systems was proteolytically processed at one of two protease cleavage motifs and was found to be glycosylated.	"NT - 6	0	6	Protein"	"[{""token"": ""NT - 6"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}]"
Furthermore, NT - 6 elicited neurite outgrowth in explanted embryonic dorsal root ganglia.	"NT - 6	13	19	Protein"	"[{""token"": ""NT - 6"", ""start_span"": 13, ""end_span"": 19, ""type"": ""Protein""}]"
Addition of heparin into the medium did not potentiate the activity of NT - 6 in survival assays.	"NT - 6	71	77	Protein"	"[{""token"": ""NT - 6"", ""start_span"": 71, ""end_span"": 77, ""type"": ""Protein""}]"
However, when a sensory ganglion explant was cultured in a collagen gel matrix assay adjacent to a heparin bead coated with NT - 6, neurite outgrowth directed towards the bead was observed.	"NT - 6	124	130	Protein"	"[{""token"": ""NT - 6"", ""start_span"": 124, ""end_span"": 130, ""type"": ""Protein""}]"
We have analysed the ultrastructure of the fascia surrounding the hernial lesions, the proline and lysine hydroxylation in the tissue, the type I - type III collagen ratio and the presence of metalloproteinases.	"type III collagen	148	165	Protein"	"[{""token"": ""type III collagen"", ""start_span"": 148, ""end_span"": 165, ""type"": ""Protein""}]"
Enzyme - linked immunosorbent assays ( ELISAs) showed no statistically significant differences in the type I - type III collagen absorbance ratios.	"type III collagen	111	128	Protein"	"[{""token"": ""type III collagen"", ""start_span"": 111, ""end_span"": 128, ""type"": ""Protein""}]"
Immunohistochemistry revealed no differences in the expression of matrix metalloproteinase - 1.	"matrix metalloproteinase - 1	66	94	Protein"	"[{""token"": ""matrix metalloproteinase - 1"", ""start_span"": 66, ""end_span"": 94, ""type"": ""Protein""}]"
FT from patients presenting direct hernia showed a very strong staining vs. metalloproteinase - 2 when compared with that observed in indirect hernia.	"metalloproteinase - 2	76	97	Protein"	"[{""token"": ""metalloproteinase - 2"", ""start_span"": 76, ""end_span"": 97, ""type"": ""Protein""}]"
Porcine submaxillary mucin forms disulfide - linked multimers through its amino - terminal D - domains.	"submaxillary mucin	8	26	Protein"	"[{""token"": ""submaxillary mucin"", ""start_span"": 8, ""end_span"": 26, ""type"": ""Protein""}]"
COS - 7 cells expressing 1, 360 residues from the amino terminus of porcine submaxillary mucin were used to determine whether this region, containing the D1, D2, and D3 domains, is involved in forming mucin multimers.	"submaxillary mucin	76	94	Protein"	"[{""token"": ""submaxillary mucin"", ""start_span"": 76, ""end_span"": 94, ""type"": ""Protein""}]"
